company_id,type,rule_id,text,confidence_pct
ADANIGREEN,Con,CON_09,"Free cash flow is negative at -13347.00 crore, which can constrain internally generated funding.",86
ADANIGREEN,Con,CON_07,Interest coverage of 1.71x provides a limited buffer for interest payments.,82
ADANIGREEN,Con,CON_05,"ROCE of 9.8% is relatively low, indicating weaker capital efficiency.",72
ADANIGREEN,Pro,PRO_01,Strong 5-year revenue growth of 35.0% indicates healthy business expansion.,98
ADANIGREEN,Pro,PRO_09,"CFO/PAT ratio of 6.12x is classified as High Quality, indicating strong cash backing for earnings.",98
ADANIPORTS,Con,CON_10,CapEx intensity of 25.3% indicates a capital-intensive business model.,92
ADANIPORTS,Pro,PRO_09,"CFO/PAT ratio of 1.85x is classified as High Quality, indicating strong cash backing for earnings.",87
ADANIPORTS,Pro,PRO_01,Strong 5-year revenue growth of 19.6% indicates healthy business expansion.,85
ADANIPORTS,Pro,PRO_08,Interest coverage of 5.95x provides a strong buffer for interest payments.,81
ADANIPORTS,Pro,PRO_11,Dividend payout of 16.0% shows a balanced approach between shareholder returns and retaining earnings.,72
ADANIPORTS,Pro,PRO_04,ROE of 15.4% indicates efficient use of shareholder capital.,71
ADANIPORTS,Pro,PRO_05,ROCE of 15.2% indicates efficient deployment of operating capital.,70
ADANIPOWER,Con,CON_12,"Revenue CAGR is the weakest among the available core financial metrics, at 16.09%. This deserves monitoring.",65
ADANIPOWER,Pro,PRO_04,ROE of 48.3% indicates efficient use of shareholder capital.,98
ADANIPOWER,Pro,PRO_06,ROA of 22.6% indicates productive use of the company's asset base.,95
ADANIPOWER,Pro,PRO_05,ROCE of 23.4% indicates efficient deployment of operating capital.,83
ADANIPOWER,Pro,PRO_08,Interest coverage of 8.30x provides a strong buffer for interest payments.,83
ADANIPOWER,Pro,PRO_01,Strong 5-year revenue growth of 16.1% indicates healthy business expansion.,81
ADANIPOWER,Pro,PRO_10,FCF conversion of 96.8% indicates good conversion of operating profit into free cash flow.,78
AMBUJACEM,Con,CON_10,CapEx intensity of 27.0% indicates a capital-intensive business model.,94
AMBUJACEM,Con,CON_09,"Free cash flow is negative at -3295.00 crore, which can constrain internally generated funding.",86
AMBUJACEM,Con,CON_01,"5-year revenue growth is only 4.1%, indicating weak business expansion.",78
AMBUJACEM,Pro,PRO_08,Interest coverage of 28.26x provides a strong buffer for interest payments.,95
AMBUJACEM,Pro,PRO_07,Low debt-to-equity of 0.02 indicates a relatively conservative capital structure.,94
AMBUJACEM,Pro,PRO_09,"CFO/PAT ratio of 1.19x is classified as High Quality, indicating strong cash backing for earnings.",80
AMBUJACEM,Pro,PRO_11,Dividend payout of 12.0% shows a balanced approach between shareholder returns and retaining earnings.,72
AMBUJACEM,Pro,PRO_05,ROCE of 15.2% indicates efficient deployment of operating capital.,70
APOLLOHOSP,Con,CON_10,CapEx intensity of 8.1% indicates a capital-intensive business model.,75
APOLLOHOSP,Pro,PRO_02,Strong 5-year profit growth of 36.1% shows good earnings expansion.,98
APOLLOHOSP,Pro,PRO_03,"EPS grew at 30.0% over 5 years, supporting improving shareholder earnings.",95
APOLLOHOSP,Pro,PRO_09,"CFO/PAT ratio of 2.05x is classified as High Quality, indicating strong cash backing for earnings.",89
APOLLOHOSP,Pro,PRO_08,Interest coverage of 5.57x provides a strong buffer for interest payments.,81
APOLLOHOSP,Pro,PRO_05,ROCE of 19.5% indicates efficient deployment of operating capital.,77
APOLLOHOSP,Pro,PRO_11,Dividend payout of 26.0% shows a balanced approach between shareholder returns and retaining earnings.,72
ASIANPAINT,Con,CON_12,"Revenue CAGR is the weakest among the available core financial metrics, at 13.03%. This deserves monitoring.",65
ASIANPAINT,Pro,PRO_05,ROCE of 35.8% indicates efficient deployment of operating capital.,98
ASIANPAINT,Pro,PRO_08,Interest coverage of 41.00x provides a strong buffer for interest payments.,95
ASIANPAINT,Pro,PRO_04,ROE of 29.7% indicates efficient use of shareholder capital.,92
ASIANPAINT,Pro,PRO_06,ROA of 18.6% indicates productive use of the company's asset base.,91
ASIANPAINT,Pro,PRO_07,Low debt-to-equity of 0.13 indicates a relatively conservative capital structure.,91
ASIANPAINT,Pro,PRO_03,"EPS grew at 21.0% over 5 years, supporting improving shareholder earnings.",86
ASIANPAINT,Pro,PRO_02,Strong 5-year profit growth of 20.3% shows good earnings expansion.,85
ASIANPAINT,Pro,PRO_09,"CFO/PAT ratio of 1.10x is classified as High Quality, indicating strong cash backing for earnings.",79
ASIANPAINT,Pro,PRO_11,Dividend payout of 58.0% shows a balanced approach between shareholder returns and retaining earnings.,72
ATGL,Con,CON_10,CapEx intensity of 16.8% indicates a capital-intensive business model.,84
ATGL,Pro,PRO_03,"EPS grew at 24.6% over 5 years, supporting improving shareholder earnings.",90
ATGL,Pro,PRO_02,Strong 5-year profit growth of 23.9% shows good earnings expansion.,89
ATGL,Pro,PRO_01,Strong 5-year revenue growth of 21.1% indicates healthy business expansion.,86
ATGL,Pro,PRO_08,Interest coverage of 10.50x provides a strong buffer for interest payments.,86
ATGL,Pro,PRO_07,Low debt-to-equity of 0.43 indicates a relatively conservative capital structure.,82
ATGL,Pro,PRO_09,"CFO/PAT ratio of 1.43x is classified as High Quality, indicating strong cash backing for earnings.",82
ATGL,Pro,PRO_05,ROCE of 21.5% indicates efficient deployment of operating capital.,80
ATGL,Pro,PRO_04,ROE of 18.7% indicates efficient use of shareholder capital.,75
ATGL,Pro,PRO_06,ROA of 10.1% indicates productive use of the company's asset base.,74
AXISBANK,Con,CON_06,Debt-to-equity of 8.25 indicates higher financial leverage.,95
AXISBANK,Con,CON_12,"Capital allocation is classified as 'Growth Funded by Debt', which warrants closer monitoring of cash-flow quality and funding requirements.",90
AXISBANK,Con,CON_08,"CFO/PAT ratio of -0.22x is classified as Accrual Risk, suggesting earnings have weaker cash support.",88
AXISBANK,Con,CON_05,"ROCE of 2.6% is relatively low, indicating weaker capital efficiency.",87
AXISBANK,Con,CON_09,"Free cash flow is negative at -14556.00 crore, which can constrain internally generated funding.",86
AXISBANK,Con,CON_07,Interest coverage of 1.69x provides a limited buffer for interest payments.,82
AXISBANK,Con,CON_10,CapEx intensity of 8.2% indicates a capital-intensive business model.,75
AXISBANK,Pro,PRO_02,Strong 5-year profit growth of 39.7% shows good earnings expansion.,98
AXISBANK,Pro,PRO_03,"EPS grew at 35.1% over 5 years, supporting improving shareholder earnings.",97
AXISBANK,Pro,PRO_04,ROE of 15.8% indicates efficient use of shareholder capital.,71
BAJAJ-AUTO,Con,CON_12,"Revenue CAGR is the weakest among the available core financial metrics, at 8.13%. This deserves monitoring.",65
BAJAJ-AUTO,Pro,PRO_08,Interest coverage of 174.42x provides a strong buffer for interest payments.,95
BAJAJ-AUTO,Pro,PRO_06,ROA of 19.6% indicates productive use of the company's asset base.,93
BAJAJ-AUTO,Pro,PRO_07,Low debt-to-equity of 0.07 indicates a relatively conservative capital structure.,93
BAJAJ-AUTO,Pro,PRO_05,ROCE of 28.4% indicates efficient deployment of operating capital.,90
BAJAJ-AUTO,Pro,PRO_04,ROE of 26.6% indicates efficient use of shareholder capital.,87
BAJAJ-AUTO,Pro,PRO_12,CapEx intensity of 0.2% indicates an asset-light business model.,75
BAJAJ-AUTO,Pro,PRO_11,Dividend payout of 29.0% shows a balanced approach between shareholder returns and retaining earnings.,72
BAJAJFINSV,Con,CON_06,Debt-to-equity of 4.79 indicates higher financial leverage.,95
BAJAJFINSV,Con,CON_12,"Capital allocation is classified as 'Growth Funded by Debt', which warrants closer monitoring of cash-flow quality and funding requirements.",90
BAJAJFINSV,Con,CON_08,"CFO/PAT ratio of -4.40x is classified as Accrual Risk, suggesting earnings have weaker cash support.",88
BAJAJFINSV,Con,CON_09,"Free cash flow is negative at -79634.00 crore, which can constrain internally generated funding.",86
BAJAJFINSV,Con,CON_10,CapEx intensity of 9.9% indicates a capital-intensive business model.,77
BAJAJFINSV,Pro,PRO_02,Strong 5-year profit growth of 23.7% shows good earnings expansion.,89
BAJAJFINSV,Pro,PRO_01,Strong 5-year revenue growth of 21.0% indicates healthy business expansion.,86
BAJAJFINSV,Pro,PRO_03,"EPS grew at 20.6% over 5 years, supporting improving shareholder earnings.",86
BAJAJFINSV,Pro,PRO_04,ROE of 25.9% indicates efficient use of shareholder capital.,86
BAJAJHLDNG,Con,CON_10,CapEx intensity of 27.7% indicates a capital-intensive business model.,95
BAJAJHLDNG,Con,CON_08,"CFO/PAT ratio of 0.26x is classified as Accrual Risk, suggesting earnings have weaker cash support.",88
BAJAJHLDNG,Con,CON_05,"ROCE of 2.9% is relatively low, indicating weaker capital efficiency.",86
BAJAJHLDNG,Pro,PRO_01,Strong 5-year revenue growth of 31.6% indicates healthy business expansion.,97
BAJAJHLDNG,Pro,PRO_07,Low debt-to-equity of 0.00 indicates a relatively conservative capital structure.,95
BAJAJHLDNG,Pro,PRO_08,Interest coverage of 3764.50x provides a strong buffer for interest payments.,95
BAJAJHLDNG,Pro,PRO_02,Strong 5-year profit growth of 19.3% shows good earnings expansion.,84
BAJAJHLDNG,Pro,PRO_03,"EPS grew at 19.0% over 5 years, supporting improving shareholder earnings.",84
BAJAJHLDNG,Pro,PRO_06,ROA of 11.3% indicates productive use of the company's asset base.,77
BAJAJHLDNG,Pro,PRO_10,FCF conversion of 94.0% indicates good conversion of operating profit into free cash flow.,77
BAJAJHLDNG,Pro,PRO_11,Dividend payout of 20.0% shows a balanced approach between shareholder returns and retaining earnings.,72
BAJFINANCE,Con,CON_06,Debt-to-equity of 3.82 indicates higher financial leverage.,94
BAJFINANCE,Con,CON_12,"Capital allocation is classified as 'Growth Funded by Debt', which warrants closer monitoring of cash-flow quality and funding requirements.",90
BAJFINANCE,Con,CON_08,"CFO/PAT ratio of -5.03x is classified as Accrual Risk, suggesting earnings have weaker cash support.",88
BAJFINANCE,Con,CON_09,"Free cash flow is negative at -79931.00 crore, which can constrain internally generated funding.",86
BAJFINANCE,Con,CON_05,"ROCE of 4.4% is relatively low, indicating weaker capital efficiency.",83
BAJFINANCE,Con,CON_10,CapEx intensity of 13.0% indicates a capital-intensive business model.,80
BAJFINANCE,Pro,PRO_08,Interest coverage of 2689.17x provides a strong buffer for interest payments.,95
BAJFINANCE,Pro,PRO_02,Strong 5-year profit growth of 29.3% shows good earnings expansion.,94
BAJFINANCE,Pro,PRO_03,"EPS grew at 27.6% over 5 years, supporting improving shareholder earnings.",93
BAJFINANCE,Pro,PRO_01,Strong 5-year revenue growth of 24.4% indicates healthy business expansion.,89
BAJFINANCE,Pro,PRO_04,ROE of 18.8% indicates efficient use of shareholder capital.,76
BAJFINANCE,Pro,PRO_11,Dividend payout of 15.0% shows a balanced approach between shareholder returns and retaining earnings.,72
BANKBARODA,Con,CON_06,Debt-to-equity of 12.14 indicates higher financial leverage.,95
BANKBARODA,Con,CON_12,"Capital allocation is classified as 'Growth Funded by Debt', which warrants closer monitoring of cash-flow quality and funding requirements.",90
BANKBARODA,Con,CON_08,"CFO/PAT ratio of -0.33x is classified as Accrual Risk, suggesting earnings have weaker cash support.",88
BANKBARODA,Con,CON_05,"ROCE of 2.8% is relatively low, indicating weaker capital efficiency.",86
BANKBARODA,Con,CON_09,"Free cash flow is negative at -7559.00 crore, which can constrain internally generated funding.",86
BANKBARODA,Con,CON_07,Interest coverage of 1.90x provides a limited buffer for interest payments.,81
BANKBARODA,Pro,PRO_02,Strong 5-year profit growth of 74.5% shows good earnings expansion.,98
BANKBARODA,Pro,PRO_03,"EPS grew at 55.2% over 5 years, supporting improving shareholder earnings.",97
BANKBARODA,Pro,PRO_01,Strong 5-year revenue growth of 17.5% indicates healthy business expansion.,82
BANKBARODA,Pro,PRO_12,CapEx intensity of 1.1% indicates an asset-light business model.,75
BANKBARODA,Pro,PRO_11,Dividend payout of 21.0% shows a balanced approach between shareholder returns and retaining earnings.,72
BANKBARODA,Pro,PRO_04,ROE of 15.8% indicates efficient use of shareholder capital.,71
BEL,Con,CON_10,CapEx intensity of 29.2% indicates a capital-intensive business model.,95
BEL,Con,CON_09,"Free cash flow is negative at -1265.00 crore, which can constrain internally generated funding.",86
BEL,Pro,PRO_04,ROE of 4744.0% indicates efficient use of shareholder capital.,98
BEL,Pro,PRO_05,ROCE of 3977.2% indicates efficient deployment of operating capital.,98
BEL,Pro,PRO_06,ROA of 2475.2% indicates productive use of the company's asset base.,95
BEL,Pro,PRO_08,Interest coverage of 476.75x provides a strong buffer for interest payments.,95
BEL,Pro,PRO_02,Strong 5-year profit growth of 16.1% shows good earnings expansion.,81
BEL,Pro,PRO_09,"CFO/PAT ratio of 1.17x is classified as High Quality, indicating strong cash backing for earnings.",80
BEL,Pro,PRO_11,Dividend payout of 40.0% shows a balanced approach between shareholder returns and retaining earnings.,72
BHARTIARTL,Con,CON_10,CapEx intensity of 34.1% indicates a capital-intensive business model.,95
BHARTIARTL,Con,CON_06,Debt-to-equity of 2.61 indicates higher financial leverage.,88
BHARTIARTL,Pro,PRO_02,Strong 5-year profit growth of 38.4% shows good earnings expansion.,98
BHARTIARTL,Pro,PRO_09,"CFO/PAT ratio of 9.22x is classified as High Quality, indicating strong cash backing for earnings.",98
BHARTIARTL,Pro,PRO_03,"EPS grew at 67.0% over 5 years, supporting improving shareholder earnings.",97
BHARTIARTL,Pro,PRO_05,ROCE of 26.3% indicates efficient deployment of operating capital.,87
BHEL,Con,CON_02,"5-year profit growth is only -22.4%, showing limited earnings growth.",96
BHEL,Con,CON_03,"5-year EPS growth is only -19.7%, which may limit shareholder earnings growth.",95
BHEL,Con,CON_04,"ROE of 1.2% is relatively low, indicating weaker returns on shareholder capital.",90
BHEL,Con,CON_12,"Capital allocation is classified as 'Distress Signal', which warrants closer monitoring of cash-flow quality and funding requirements.",90
BHEL,Con,CON_05,"ROCE of 2.1% is relatively low, indicating weaker capital efficiency.",88
BHEL,Con,CON_08,"CFO/PAT ratio of -13.17x is classified as Accrual Risk, suggesting earnings have weaker cash support.",88
BHEL,Con,CON_09,"Free cash flow is negative at -2382.00 crore, which can constrain internally generated funding.",86
BHEL,Con,CON_07,Interest coverage of 1.59x provides a limited buffer for interest payments.,83
BHEL,Con,CON_01,"5-year revenue growth is only -4.7%, indicating weak business expansion.",79
BHEL,Pro,PRO_07,Low debt-to-equity of 0.36 indicates a relatively conservative capital structure.,84
BHEL,Pro,PRO_11,Dividend payout of 31.0% shows a balanced approach between shareholder returns and retaining earnings.,72
BOSCHLTD,Con,CON_12,"Revenue CAGR is the weakest among the available core financial metrics, at 6.72%. This deserves monitoring.",65
BOSCHLTD,Pro,PRO_07,Low debt-to-equity of 0.00 indicates a relatively conservative capital structure.,95
BOSCHLTD,Pro,PRO_08,Interest coverage of 71.78x provides a strong buffer for interest payments.,95
BOSCHLTD,Pro,PRO_06,ROA of 14.3% indicates productive use of the company's asset base.,83
BOSCHLTD,Pro,PRO_04,ROE of 20.6% indicates efficient use of shareholder capital.,78
BOSCHLTD,Pro,PRO_12,CapEx intensity of 1.7% indicates an asset-light business model.,75
BOSCHLTD,Pro,PRO_05,ROCE of 17.3% indicates efficient deployment of operating capital.,73
BOSCHLTD,Pro,PRO_11,Dividend payout of 44.0% shows a balanced approach between shareholder returns and retaining earnings.,72
BPCL,Con,CON_12,"Revenue CAGR is the weakest among the available core financial metrics, at 8.48%. This deserves monitoring.",65
BPCL,Pro,PRO_04,ROE of 35.5% indicates efficient use of shareholder capital.,98
BPCL,Pro,PRO_05,ROCE of 33.8% indicates efficient deployment of operating capital.,98
BPCL,Pro,PRO_03,"EPS grew at 28.1% over 5 years, supporting improving shareholder earnings.",93
BPCL,Pro,PRO_02,Strong 5-year profit growth of 25.8% shows good earnings expansion.,91
BPCL,Pro,PRO_08,Interest coverage of 11.36x provides a strong buffer for interest payments.,86
BPCL,Pro,PRO_06,ROA of 13.3% indicates productive use of the company's asset base.,81
BPCL,Pro,PRO_09,"CFO/PAT ratio of 1.34x is classified as High Quality, indicating strong cash backing for earnings.",81
BPCL,Pro,PRO_12,CapEx intensity of 2.3% indicates an asset-light business model.,75
BPCL,Pro,PRO_11,Dividend payout of 33.0% shows a balanced approach between shareholder returns and retaining earnings.,72
BRITANNIA,Con,CON_12,"Revenue CAGR is the weakest among the available core financial metrics, at 8.69%. This deserves monitoring.",65
BRITANNIA,Pro,PRO_04,ROE of 54.1% indicates efficient use of shareholder capital.,98
BRITANNIA,Pro,PRO_05,ROCE of 52.7% indicates efficient deployment of operating capital.,98
BRITANNIA,Pro,PRO_06,ROA of 23.5% indicates productive use of the company's asset base.,95
BRITANNIA,Pro,PRO_08,Interest coverage of 20.60x provides a strong buffer for interest payments.,95
BRITANNIA,Pro,PRO_09,"CFO/PAT ratio of 1.21x is classified as High Quality, indicating strong cash backing for earnings.",80
BRITANNIA,Pro,PRO_10,FCF conversion of 96.3% indicates good conversion of operating profit into free cash flow.,78
BRITANNIA,Pro,PRO_12,CapEx intensity of 2.8% indicates an asset-light business model.,75
CANBK,Con,CON_06,Debt-to-equity of 14.87 indicates higher financial leverage.,95
CANBK,Con,CON_05,"ROCE of 3.2% is relatively low, indicating weaker capital efficiency.",86
CANBK,Con,CON_07,Interest coverage of 1.61x provides a limited buffer for interest payments.,83
CANBK,Pro,PRO_02,Strong 5-year profit growth of 85.8% shows good earnings expansion.,98
CANBK,Pro,PRO_03,"EPS grew at 53.4% over 5 years, supporting improving shareholder earnings.",97
CANBK,Pro,PRO_01,Strong 5-year revenue growth of 18.2% indicates healthy business expansion.,83
CANBK,Pro,PRO_12,CapEx intensity of 1.6% indicates an asset-light business model.,75
CANBK,Pro,PRO_04,ROE of 16.7% indicates efficient use of shareholder capital.,73
CANBK,Pro,PRO_11,Dividend payout of 19.0% shows a balanced approach between shareholder returns and retaining earnings.,72
CHOLAFIN,Con,CON_06,Debt-to-equity of 6.86 indicates higher financial leverage.,95
CHOLAFIN,Con,CON_12,"Capital allocation is classified as 'Growth Funded by Debt', which warrants closer monitoring of cash-flow quality and funding requirements.",90
CHOLAFIN,Con,CON_08,"CFO/PAT ratio of -10.43x is classified as Accrual Risk, suggesting earnings have weaker cash support.",88
CHOLAFIN,Con,CON_09,"Free cash flow is negative at -38538.00 crore, which can constrain internally generated funding.",86
CHOLAFIN,Con,CON_05,"ROCE of 3.5% is relatively low, indicating weaker capital efficiency.",85
CHOLAFIN,Con,CON_10,CapEx intensity of 14.9% indicates a capital-intensive business model.,82
CHOLAFIN,Pro,PRO_08,Interest coverage of 21.21x provides a strong buffer for interest payments.,95
CHOLAFIN,Pro,PRO_02,Strong 5-year profit growth of 23.4% shows good earnings expansion.,88
CHOLAFIN,Pro,PRO_01,Strong 5-year revenue growth of 21.9% indicates healthy business expansion.,87
CHOLAFIN,Pro,PRO_03,"EPS grew at 22.3% over 5 years, supporting improving shareholder earnings.",87
CHOLAFIN,Pro,PRO_04,ROE of 17.5% indicates efficient use of shareholder capital.,74
CIPLA,Con,CON_10,CapEx intensity of 11.6% indicates a capital-intensive business model.,79
CIPLA,Pro,PRO_05,ROCE of 71.5% indicates efficient deployment of operating capital.,98
CIPLA,Pro,PRO_08,Interest coverage of 35.34x provides a strong buffer for interest payments.,95
CIPLA,Pro,PRO_07,Low debt-to-equity of 0.02 indicates a relatively conservative capital structure.,94
CIPLA,Pro,PRO_02,Strong 5-year profit growth of 22.7% shows good earnings expansion.,88
CIPLA,Pro,PRO_03,"EPS grew at 21.8% over 5 years, supporting improving shareholder earnings.",87
CIPLA,Pro,PRO_06,ROA of 12.8% indicates productive use of the company's asset base.,80
CIPLA,Pro,PRO_11,Dividend payout of 25.0% shows a balanced approach between shareholder returns and retaining earnings.,72
CIPLA,Pro,PRO_04,ROE of 15.6% indicates efficient use of shareholder capital.,71
COALINDIA,Con,CON_08,"CFO/PAT ratio of 0.48x is classified as Accrual Risk, suggesting earnings have weaker cash support.",88
COALINDIA,Pro,PRO_04,ROE of 45.2% indicates efficient use of shareholder capital.,98
COALINDIA,Pro,PRO_05,ROCE of 105.7% indicates efficient deployment of operating capital.,98
COALINDIA,Pro,PRO_07,Low debt-to-equity of 0.08 indicates a relatively conservative capital structure.,93
COALINDIA,Pro,PRO_06,ROA of 15.8% indicates productive use of the company's asset base.,86
COALINDIA,Pro,PRO_08,Interest coverage of 11.24x provides a strong buffer for interest payments.,86
COALINDIA,Pro,PRO_03,"EPS grew at 16.9% over 5 years, supporting improving shareholder earnings.",82
COALINDIA,Pro,PRO_02,Strong 5-year profit growth of 16.4% shows good earnings expansion.,81
COALINDIA,Pro,PRO_11,Dividend payout of 42.0% shows a balanced approach between shareholder returns and retaining earnings.,72
DABUR,Con,CON_02,"5-year profit growth is only 4.6%, showing limited earnings growth.",79
DABUR,Con,CON_03,"5-year EPS growth is only 4.6%, which may limit shareholder earnings growth.",79
DABUR,Pro,PRO_08,Interest coverage of 23.24x provides a strong buffer for interest payments.,95
DABUR,Pro,PRO_07,Low debt-to-equity of 0.14 indicates a relatively conservative capital structure.,91
DABUR,Pro,PRO_05,ROCE of 21.4% indicates efficient deployment of operating capital.,80
DABUR,Pro,PRO_09,"CFO/PAT ratio of 1.11x is classified as High Quality, indicating strong cash backing for earnings.",79
DABUR,Pro,PRO_06,ROA of 12.0% indicates productive use of the company's asset base.,78
DABUR,Pro,PRO_04,ROE of 18.4% indicates efficient use of shareholder capital.,75
DABUR,Pro,PRO_11,Dividend payout of 53.0% shows a balanced approach between shareholder returns and retaining earnings.,72
DIVISLAB,Con,CON_02,"5-year profit growth is only 3.4%, showing limited earnings growth.",77
DIVISLAB,Con,CON_03,"5-year EPS growth is only 3.3%, which may limit shareholder earnings growth.",77
DIVISLAB,Pro,PRO_07,Low debt-to-equity of 0.00 indicates a relatively conservative capital structure.,95
DIVISLAB,Pro,PRO_08,Interest coverage of 636.25x provides a strong buffer for interest payments.,95
DIVISLAB,Pro,PRO_06,ROA of 10.3% indicates productive use of the company's asset base.,75
DIVISLAB,Pro,PRO_05,ROCE of 16.3% indicates efficient deployment of operating capital.,72
DIVISLAB,Pro,PRO_11,Dividend payout of 50.0% shows a balanced approach between shareholder returns and retaining earnings.,72
DLF,Con,CON_10,CapEx intensity of 23.8% indicates a capital-intensive business model.,91
DLF,Con,CON_05,"ROCE of 4.8% is relatively low, indicating weaker capital efficiency.",82
DLF,Con,CON_01,"5-year revenue growth is only -5.1%, indicating weak business expansion.",80
DLF,Con,CON_04,"ROE of 6.9% is relatively low, indicating weaker returns on shareholder capital.",78
DLF,Pro,PRO_07,Low debt-to-equity of 0.12 indicates a relatively conservative capital structure.,91
DLF,Pro,PRO_08,Interest coverage of 7.46x provides a strong buffer for interest payments.,82
DLF,Pro,PRO_02,Strong 5-year profit growth of 15.7% shows good earnings expansion.,81
DLF,Pro,PRO_11,Dividend payout of 45.0% shows a balanced approach between shareholder returns and retaining earnings.,72
DMART,Con,CON_12,"ROE is the weakest among the available core financial metrics, at 13.56%. This deserves monitoring.",65
DMART,Pro,PRO_08,Interest coverage of 73.29x provides a strong buffer for interest payments.,95
DMART,Pro,PRO_07,Low debt-to-equity of 0.03 indicates a relatively conservative capital structure.,94
DMART,Pro,PRO_02,Strong 5-year profit growth of 23.0% shows good earnings expansion.,88
DMART,Pro,PRO_03,"EPS grew at 22.7% over 5 years, supporting improving shareholder earnings.",88
DMART,Pro,PRO_01,Strong 5-year revenue growth of 20.5% indicates healthy business expansion.,85
DMART,Pro,PRO_05,ROCE of 21.3% indicates efficient deployment of operating capital.,79
DMART,Pro,PRO_09,"CFO/PAT ratio of 1.08x is classified as High Quality, indicating strong cash backing for earnings.",79
DMART,Pro,PRO_06,ROA of 12.0% indicates productive use of the company's asset base.,78
DRREDDY,Con,CON_10,CapEx intensity of 14.4% indicates a capital-intensive business model.,81
DRREDDY,Pro,PRO_08,Interest coverage of 51.71x provides a strong buffer for interest payments.,95
DRREDDY,Pro,PRO_07,Low debt-to-equity of 0.07 indicates a relatively conservative capital structure.,93
DRREDDY,Pro,PRO_03,"EPS grew at 23.8% over 5 years, supporting improving shareholder earnings.",89
DRREDDY,Pro,PRO_02,Strong 5-year profit growth of 23.4% shows good earnings expansion.,88
DRREDDY,Pro,PRO_05,ROCE of 26.2% indicates efficient deployment of operating capital.,87
DRREDDY,Pro,PRO_06,ROA of 14.4% indicates productive use of the company's asset base.,83
DRREDDY,Pro,PRO_04,ROE of 19.7% indicates efficient use of shareholder capital.,77
DRREDDY,Pro,PRO_11,Dividend payout of 12.0% shows a balanced approach between shareholder returns and retaining earnings.,72
EICHERMOT,Con,CON_10,CapEx intensity of 17.1% indicates a capital-intensive business model.,84
EICHERMOT,Pro,PRO_08,Interest coverage of 114.71x provides a strong buffer for interest payments.,95
EICHERMOT,Pro,PRO_07,Low debt-to-equity of 0.02 indicates a relatively conservative capital structure.,94
EICHERMOT,Pro,PRO_06,ROA of 17.3% indicates productive use of the company's asset base.,89
EICHERMOT,Pro,PRO_05,ROCE of 23.4% indicates efficient deployment of operating capital.,83
EICHERMOT,Pro,PRO_04,ROE of 22.2% indicates efficient use of shareholder capital.,81
EICHERMOT,Pro,PRO_11,Dividend payout of 35.0% shows a balanced approach between shareholder returns and retaining earnings.,72
GAIL,Con,CON_12,"EPS CAGR is the weakest among the available core financial metrics, at 8.45%. This deserves monitoring.",65
